Coefficient,MAE,ExpVar
1.6806134704507392,5.237370092894817,0.9313136899657813
0.27538099049057685,5.237370092894817,0.9313136899657813
0.034003293513358235,5.237370092894817,0.9313136899657813
0.4395165339247415,5.237370092894817,0.9313136899657813
0.6780876622397803,5.237370092894817,0.9313136899657813
1.5126150015976045,5.237370092894817,0.9313136899657813
1.4038426872441294,5.237370092894817,0.9313136899657813
0.3000002505038243,5.237370092894817,0.9313136899657813
1.289715149402824,5.237370092894817,0.9313136899657813
0.6502898041574933,5.237370092894817,0.9313136899657813
1.3822585005337849,5.237370092894817,0.9313136899657813
0.15853237064627265,5.237370092894817,0.9313136899657813
0.2294050620279408,5.237370092894817,0.9313136899657813
0.2563409533398537,5.237370092894817,0.9313136899657813
0.139377235827203,5.237370092894817,0.9313136899657813
1.2229117193995196,5.237370092894817,0.9313136899657813
0.26870576950437247,5.237370092894817,0.9313136899657813
1.621053779178351,5.237370092894817,0.9313136899657813
19.90284692569617,5.237370092894817,0.9313136899657813
0.34991917637739767,5.237370092894817,0.9313136899657813
0.6145222367052543,5.237370092894817,0.9313136899657813
1.259339124010829,5.237370092894817,0.9313136899657813
